id_kabkota,kab_kota,prov,total_prod,loss_flood_nonclimate_rp25,loss_flood_nonclimate_rp50,loss_flood_nonclimate_rp100,loss_flood_nonclimate_rp250,loss_flood_climate_rp25,loss_flood_climate_rp50,loss_flood_climate_rp100,loss_flood_climate_rp250,aal_flood_nonclimate_v2,aal_flood_climate_v2
1105,Aceh Barat,Aceh,63136.39,,,,,,,,,,
1112,Aceh Barat Daya,Aceh,68350.84,,,,,,,,,,
1106,Aceh Besar,Aceh,200097.22,,,,,,,,,,
1114,Aceh Jaya,Aceh,42784.33,,,,,,,,,,
1101,Aceh Selatan,Aceh,30288.69,,,,,,,,,,
1110,Aceh Singkil,Aceh,2203.58,,,,,,,,,,
1116,Aceh Tamiang,Aceh,59902.25,,,,,,,,,,
1104,Aceh Tengah,Aceh,13757.16,,,,,,,,,,
1102,Aceh Tenggara,Aceh,69478.52,,,,,,,,,,
1103,Aceh Timur,Aceh,130151.43,,,,,,,,,,
1108,Aceh Utara,Aceh,323839.47,,,,,,,,,,
1117,Bener Meriah,Aceh,1715.62,,,,,,,,,,
1111,Bireuen,Aceh,137057.19,,,,,,,,,,
1113,Gayo Lues,Aceh,28634.5,,,,,,,,,,
1171,Banda Aceh,Aceh,72.97,,,,,,,,,,
1174,Langsa,Aceh,7101.39,,,,,,,,,,
1173,Lhokseumawe,Aceh,9899.07,,,,,,,,,,
1172,Sabang,Aceh,0.0,,,,,,,,,,
1175,Subulussalam,Aceh,244.58,,,,,,,,,,
1115,Nagan Raya,Aceh,32185.63,,,,,,,,,,
1107,Pidie,Aceh,188438.42,,,,,,,,,,
1118,Pidie Jaya,Aceh,88469.06,,,,,,,,,,
1109,Simeulue,Aceh,11648.15,,,,,,,,,,
5103,Badung,Bali,,,,,,,,,,,
5106,Bangli,Bali,,,,,,,,,,,
5108,Buleleng,Bali,,,,,,,,,,,
5104,Gianyar,Bali,,,,,,,,,,,
5101,Jembrana,Bali,,,,,,,,,,,
5107,Karangasem,Bali,,,,,,,,,,,
5105,Klungkung,Bali,,,,,,,,,,,
5171,Kota Denpasar,Bali,,,,,,,,,,,
5102,Tabanan,Bali,,,,,,,,,,,
3672,Cilegon,Banten,9101.37,28814170249.090443,31850853559.72925,32532651509.612663,33409907514.15992,32423050232.170975,33205141254.68024,33880921545.435013,35057059277.94027,1260035070.562864,1338754408.4509754
3673,Serang,Banten,55987.47,147792573634.19522,193848868082.96655,194889629591.02582,196818856800.58246,194710261571.28384,196341785945.6208,197614883990.94058,200366320456.8913,7322507791.918734,7875712720.022916
3671,Tangerang,Banten,3424.91,13460915953.469805,14477623164.894566,14848140234.783274,15309756766.418844,14512346006.705776,14895441129.285954,15194721760.162458,15659951990.97113,577726926.2513146,599732515.0244446
3674,Tangerang Selatan,Banten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3602,Lebak,Banten,430413.6,2157077745604.4792,2276675456689.528,2303639553825.4185,2340102197515.2656,2293627879533.597,2322167711364.4673,2346336896906.8364,2394156390155.9556,90530741119.59792,93298584372.14935
3601,Pandeglang,Banten,553202.6,1879218702008.8982,2166319997970.319,2199625888693.4824,2243559908542.854,2204288978823.5806,2244041297445.26,2276700017895.7637,2341361923030.651,84588913458.99161,90306642854.29536
3604,Serang,Banten,446654.3,1397052428438.4043,1700199858069.192,1739174295452.8535,1784563565902.3464,1725806393413.689,1766979398353.2158,1797405278537.4556,1863787880333.3699,65878861480.36117,71188512300.06836
3603,Tangerang,Banten,289798.4,858323376479.6215,1064632718441.3428,1089879098774.6318,1123742337763.608,1066139290385.8204,1092443653062.9896,1115447864424.9104,1150757597122.7756,41137953695.958664,44026933795.06176
1701,Bengkulu Selatan,Bengkulu,50237.54,,,,,,,,,,
1709,Bengkulu Tengah,Bengkulu,5271.28,,,,,,,,,,
1703,Bengkulu Utara,Bengkulu,19728.24,,,,,,,,,,
1704,Kaur,Bengkulu,24207.7,,,,,,,,,,
1708,Kepahiang,Bengkulu,14986.45,,,,,,,,,,
1771,Bengkulu,Bengkulu,5809.92,,,,,,,,,,
1707,Lebong,Bengkulu,50510.99,,,,,,,,,,
1706,Muko Muko,Bengkulu,31370.91,,,,,,,,,,
1702,Rejang Lebong,Bengkulu,35899.06,,,,,,,,,,
1705,Seluma,Bengkulu,43588.0,,,,,,,,,,
3402,Bantul,DI Yogyakarta,130339.44,486961712439.8819,549930153386.3491,569319749259.2926,596070805823.8601,553757807358.3053,576076440232.041,594975378282.596,623172618354.5032,21845623060.03542,23300736031.805954
3403,Gunungkidul,DI Yogyakarta,198309.83,930992849445.1399,997538885206.284,1009970813074.4437,1026194645535.0569,999706432928.7922,1013755685907.7571,1025339148071.6561,1043155843096.998,39536140795.886604,40708203704.15652
3471,Yogyakarta,DI Yogyakarta,43.09,207371110.42617983,223378093.04179218,226667181.867351,219466085.09025583,223856650.0631833,227475056.26029503,219200425.38522503,225357452.3729155,8773982.55045928,8981797.914228467
3401,Kulon Progo,DI Yogyakarta,116055.76,507442290877.1212,545015882354.97327,555516195003.5557,569446423512.4093,547281691192.97626,559009689459.2412,569453228933.965,587949769129.4622,21679915668.71112,22529236469.196335
3404,Sleman,DI Yogyakarta,116951.41,413811699068.10205,480165041283.8475,481467111238.395,483003803654.16736,480980825596.1122,482082726354.25494,482898111157.8608,485164730659.44946,18573356125.425064,19300387155.15398
3101,Kepulauan Seribu,DKI Jakarta,0.0,,,,,,,,,,
3173,Jakarta Pusat,DKI Jakarta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3171,Jakarta Selatan,DKI Jakarta,0.0,,,,,,,,,,
3174,Jakarta Barat,DKI Jakarta,181.0,731354046.3260828,772071113.470831,783721837.3540311,791007439.4204485,772522617.7283982,782646873.2583603,792423733.0196095,799676320.2487999,30701433.940098684,31402053.38205786
3175,Jakarta Utara,DKI Jakarta,1969.0,7084400492.048468,7729754114.792267,7881662918.374366,8104194107.139827,7738164074.206704,7906725409.8153,8062697784.955933,8286247442.712848,306572978.7393424,318487836.2679339
3172,Jakarta Timur,DKI Jakarta,187.0,535037601.1776017,597915697.96601,624437814.7751704,667240942.2457329,599487503.9942904,629684146.0430989,660302051.0458192,708007563.9474654,23985300.59518766,25678606.586588196
7502,Boalemo,Gorontalo,29663.64,,,,,,,,,,
7503,Bone Bolango,Gorontalo,17790.18,,,,,,,,,,
7501,Gorontalo,Gorontalo,128971.46,,,,,,,,,,
7505,Gorontalo Utara,Gorontalo,26667.8,,,,,,,,,,
7571,Gorontalo,Gorontalo,9632.18,,,,,,,,,,
7504,Pahuwato,Gorontalo,27409.27,,,,,,,,,,
1504,Batanghari,Jambi,22383.81,,,,,,,,,,
1508,Bungo,Jambi,17110.03,,,,,,,,,,
1501,Kerinci,Jambi,87517.43,,,,,,,,,,
1571,Jambi,Jambi,1298.62,,,,,,,,,,
1572,Sungai Penuh,Jambi,35880.87,,,,,,,,,,
